AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
22,-15,-12,-54,19,41,-320,31,6,-430,-125,-126,-872,-31
-56,-128,-146,-82,-171,-43,-309,-93,-119,-437,-179,-160,-814,-125
-54,-132,-150,-83,-166,-31,-304,-96,-127,-439,-178,-159,-823,-129
-54,-133,-137,-82,-163,-43,-301,-92,-141,-435,-179,-158,-825,-131
-57,-129,-121,-82,-172,-45,-310,-88,-145,-431,-181,-158,-818,-129
-55,-135,-123,-84,-179,-51,-305,-97,-147,-434,-193,-158,-821,-132
-49,-138,-126,-86,-159,-60,-290,-88,-151,-438,-203,-157,-824,-129
-54,-131,-116,-86,-127,-58,-305,-70,-144,-437,-193,-160,-820,-118
-59,-133,-115,-84,-128,-59,-320,-82,-141,-438,-186,-157,-814,-118
-54,-137,-122,-82,-144,-64,-307,-101,-150,-443,-183,-154,-813,-125
-54,-135,-120,-82,-139,-61,-301,-97,-146,-442,-156,-174,-816,-122
-58,-130,-120,-82,-132,-53,-309,-92,-129,-439,-139,-186,-817,-118
-51,-126,-132,-82,-139,-53,-307,-97,-120,-438,-151,-162,-815,-116
-48,-128,-143,-82,-136,-58,-302,-100,-124,-438,-144,-156,-815,-112
-56,-129,-146,-82,-124,-58,-307,-103,-123,-435,-123,-176,-821,-108
-51,-94,-77,-78,-49,33,-302,-63,5,-437,-77,-159,-816,-69
-67,-94,-81,-80,-44,27,-311,-65,4,-435,-120,-159,-819,-66
-60,-97,-74,-84,-52,27,-306,-64,2,-438,-136,-158,-821,-70
-45,-92,-59,-85,-47,34,-291,-61,3,-438,-119,-158,-817,-73
-50,-98,-59,-82,-42,27,-296,-66,2,-434,-97,-158,-813,-74
-56,-108,-64,-82,-63,5,-309,-69,-2,-435,-113,-158,-815,-76
-54,-103,-60,-83,-79,0,-310,-63,-5,-441,-136,-159,-818,-79
-53,-111,-60,-82,-73,7,-303,-66,-16,-441,-131,-160,-815,-86
-49,-132,-64,-83,-73,0,-307,-76,-27,-440,-118,-155,-814,-90
-52,-124,-60,-82,-74,5,-304,-71,-20,-441,-128,-160,-818,-86
-58,-101,-56,-82,-56,26,-289,-66,-7,-440,-138,-173,-819,-75
-57,-99,-58,-83,-40,31,-289,-68,-5,-437,-130,-166,-816,-65
-55,-103,-60,-81,-41,26,-306,-56,-3,-439,-118,-152,-816,-62
-53,-100,-60,-78,-42,31,-313,-38,1,-440,-117,-157,-817,-60
-51,-90,-56,-79,-39,35,-305,-37,4,-438,-118,-162,-817,-60
-53,-80,-53,-81,-40,31,-306,-42,5,-435,-116,-155,-816,-60
-52,-92,-54,-81,-45,29,-309,-50,-1,-435,-115,-154,-816,-61
-52,-105,-57,-79,-38,21,-306,-47,-2,-438,-106,-157,-818,-65
-60,-102,-56,-80,-40,8,-305,-39,-2,-438,-94,-158,-819,-66
-60,-103,-56,-82,-64,0,-305,-50,-19,-434,-105,-158,-815,-69
-49,-107,-59,-83,-66,3,-292,-57,-23,-432,-117,-158,-814,-75
-50,-101,-56,-82,-46,8,-291,-46,-10,-431,-108,-158,-814,-71
-55,-104,-54,-83,-57,2,-308,-52,-17,-431,-104,-158,-814,-66
-52,-110,-56,-83,-78,-8,-311,-68,-35,-438,-104,-158,-814,-68
-51,-105,-55,-82,-61,1,-304,-61,-27,-443,-87,-158,-814,-69
-53,-101,-55,-83,-43,22,-308,-58,-12,-438,-60,-158,-814,-65
-54,-97,-56,-82,-49,30,-304,-62,-10,-435,-22,-158,-814,-63
-56,-96,-58,-81,-48,27,-290,-49,-7,-438,32,-158,-814,-62
-54,-96,-51,-81,-41,29,-293,-38,-7,-436,70,-158,-814,-55
-51,-90,-40,-79,-40,32,-298,-39,-9,-435,53,-158,-814,-52
-50,-81,-40,-78,-43,34,-292,-40,-12,-441,9,-158,-814,-56
-50,-77,-44,-79,-43,36,-298,-35,-14,-442,-16,-158,-814,-62
-51,-71,-44,-81,-40,46,-306,-35,-9,-440,-12,-158,-814,-61
-55,-76,-49,-81,-39,58,-301,-37,-2,-442,5,-158,-814,-57
-55,-96,-54,-81,-43,53,-298,-43,-8,-442,31,-158,-814,-56
-48,-43,-32,-75,-6,97,-303,-28,15,-437,-37,-157,-816,-38
-53,-40,-34,-72,-8,107,-300,-30,23,-434,-32,-159,-817,-35
-52,-39,-26,-72,-10,101,-306,-35,23,-438,-11,-158,-816,-34
-46,-44,-29,-80,-15,92,-307,-36,19,-440,-12,-158,-816,-38
-49,-45,-46,-85,-32,94,-296,-35,20,-433,-22,-159,-817,-42
-51,-44,-57,-80,-46,94,-288,-35,19,-431,-39,-158,-816,-49
-48,-47,-55,-78,-43,94,-293,-35,9,-433,-49,-158,-816,-56
-50,-60,-54,-80,-43,83,-298,-38,3,-432,-10,-158,-816,-50
-53,-71,-56,-75,-46,64,-292,-39,11,-431,61,-157,-816,-41
-52,-62,-56,-70,-42,73,-290,-38,27,-432,104,-155,-816,-41
-51,-49,-59,-73,-39,88,-301,-37,32,-435,85,-155,-816,-39
-48,-49,-59,-72,-34,74,-309,-40,24,-438,32,-155,-816,-34
-46,-51,-40,-66,-22,74,-293,-39,24,-436,25,-155,-816,-33
-47,-49,-27,-69,-16,93,-286,-35,30,-435,53,-155,-816,-34
-50,-42,-32,-80,-14,85,-301,-31,26,-436,45,-155,-816,-33
-49,-45,-34,-84,-12,75,-298,-30,23,-435,18,-155,-816,-35
-49,-60,-29,-81,-14,84,-289,-32,23,-436,7,-155,-816,-36
-51,-56,-28,-80,-15,85,-306,-33,17,-438,13,-155,-816,-34
-51,-36,-28,-80,-13,81,-314,-31,19,-440,32,-155,-816,-32
-55,-70,-53,-80,-31,28,-295,-30,-65,-437,-210,-155,-815,-41
-51,-67,-56,-73,-16,29,-298,-32,-60,-439,-221,-155,-812,-44
-44,-67,-59,-68,-28,29,-294,-30,-59,-440,-215,-155,-812,-37
-51,-69,-51,-71,-43,26,-294,-29,-63,-440,-217,-155,-804,-42
-56,-64,-47,-81,-43,24,-308,-33,-61,-438,-236,-155,-799,-54
-50,-63,-51,-82,-36,22,-310,-39,-54,-438,-231,-155,-803,-49
-46,-64,-55,-79,-21,27,-292,-40,-39,-439,-194,-155,-810,-33
-51,-64,-54,-81,-10,39,-287,-36,-21,-437,-169,-155,-812,-31
-55,-59,-55,-80,-15,41,-293,-35,-16,-436,-178,-155,-814,-34
-54,-46,-63,-82,-16,47,-291,-36,-11,-436,-178,-155,-815,-32
-47,-39,-67,-82,-11,61,-290,-35,4,-436,-144,-155,-814,-29
-46,-40,-63,-75,-12,68,-292,-32,10,-435,-117,-155,-815,-25
-53,-35,-55,-68,-10,66,-290,-28,5,-435,-130,-155,-813,-24
-55,-33,-63,-70,-8,68,-290,-28,4,-438,-159,-155,-813,-26
-48,-38,-82,-73,-13,65,-290,-31,5,-437,-172,-155,-813,-33
-45,-45,-87,-68,-18,52,-289,-32,-5,-430,-178,-155,-813,-37
-50,-59,-78,-66,-20,37,-293,-33,-18,-429,-182,-155,-813,-37
-41,-41,-19,-65,45,59,-291,-6,-3,-437,-82,-155,-813,-2
-42,-41,-18,-64,43,55,-291,-21,-1,-435,-77,-155,-813,-4
-41,-43,-19,-65,28,44,-291,-34,-15,-433,-88,-155,-813,-9
-41,-45,-20,-75,18,32,-291,-34,-33,-433,-111,-155,-813,-8
-45,-41,-20,-78,18,34,-291,-31,-26,-433,-126,-155,-813,-7
-44,-40,-21,-71,22,51,-291,-36,-14,-433,-115,-155,-814,-4
-41,-42,-23,-72,24,63,-291,-37,-13,-433,-95,-155,-813,-1
-42,-40,-24,-72,23,60,-291,-22,-10,-430,-98,-155,-812,-3
-43,-32,-21,-64,17,61,-291,-9,-3,-432,-114,-155,-817,-6
-45,-36,-22,-64,13,66,-291,-12,-4,-439,-118,-155,-810,-8
-49,-40,-26,-67,17,61,-291,-14,3,-440,-119,-155,-789,-8
-44,-24,-25,-61,21,67,-291,-4,18,-434,-119,-155,-782,-6
-35,-9,-18,-60,24,84,-291,-2,22,-435,-109,-155,-793,-4
-41,-8,-16,-62,26,80,-291,-6,23,-439,-97,-155,-785,-2
-47,-13,-25,-61,33,63,-291,-13,30,-437,-96,-155,-779,4
-39,-17,-27,-61,41,58,-291,-25,29,-436,-101,-155,-803,7
-39,-18,-31,-68,39,60,-291,-34,26,-438,-99,-155,-809,7
-48,-12,-39,-70,41,62,-291,-34,36,-434,-88,-155,-794,14
-47,-7,-35,-65,45,77,-291,-32,46,-432,-79,-155,-802,23
-39,-9,-18,-56,25,84,-291,-3,17,-436,-95,-154,-816,17
-45,-5,-19,-59,25,84,-291,-3,24,-437,-102,-154,-816,18
-44,-8,-22,-58,-3,64,-291,0,16,-435,-113,-154,-816,2
-40,-30,-23,-62,-21,46,-291,-5,-12,-440,-129,-154,-816,-10
-43,-40,-21,-65,2,42,-291,-11,-21,-442,-136,-154,-816,3
-45,-36,-24,-57,24,47,-291,-6,-7,-435,-130,-154,-816,6
-37,-36,-23,-54,15,48,-291,2,-10,-433,-132,-154,-816,-3
-37,-35,-20,-57,-5,45,-291,0,-21,-437,-144,-154,-816,-7
-44,-37,-25,-56,-13,39,-291,-4,-22,-435,-151,-154,-816,-6
-44,-37,-23,-54,-3,39,-291,-4,-24,-432,-154,-154,-816,-1
-40,-21,-8,-56,15,50,-291,0,-23,-435,-162,-154,-816,0
-41,-12,0,-57,20,60,-291,4,-14,-437,-155,-154,-816,4
-37,-42,8,-70,20,32,-291,1,29,-437,-140,-154,-814,3
-33,-32,6,-69,20,54,-291,-3,36,-436,-126,-154,-814,9
-35,-11,8,-72,21,79,-291,11,53,-436,-101,-154,-814,24
-36,-5,11,-69,36,89,-291,23,62,-435,-91,-154,-814,28
-28,-11,11,-53,51,92,-291,10,64,-437,-106,-154,-814,24
-24,-8,10,-50,46,92,-291,9,61,-437,-121,-154,-814,26
-23,-2,12,-62,43,94,-291,23,63,-436,-121,-154,-814,27
-21,-6,14,-66,46,95,-291,19,65,-434,-110,-154,-814,32
-26,-10,12,-62,34,90,-291,7,55,-435,-101,-154,-814,34
-32,-13,10,-64,19,87,-291,5,44,-435,-93,-154,-814,24
-29,-8,8,-65,22,94,-291,2,48,-433,-86,-154,-815,20
-25,-7,10,-64,28,94,-291,3,54,-435,-89,-154,-814,24
-31,-29,7,-63,20,73,-291,0,40,-437,-104,-154,-813,10
-37,-54,-46,-55,-18,29,-291,-2,13,-436,-98,-154,-816,-35
-39,-58,-51,-61,-18,29,-291,-6,12,-438,-116,-154,-817,-33
-38,-41,-55,-64,-13,33,-291,-7,26,-438,-115,-154,-817,-33
-40,-38,-55,-65,-15,33,-291,-8,25,-436,-99,-154,-816,-32
-41,-50,-56,-63,-21,31,-291,-6,14,-434,-112,-154,-818,-34
-38,-45,-53,-64,-17,37,-291,-3,17,-435,-136,-154,-821,-33
-41,-41,-48,-65,-9,45,-291,1,26,-436,-135,-154,-816,-29
-41,-56,-52,-60,-7,39,-291,1,17,-434,-135,-154,-813,-32
-32,-70,-56,-53,-23,27,-291,-5,0,-432,-150,-154,-817,-40
-31,-70,-52,-51,-41,26,-291,-9,-4,-432,-155,-154,-821,-41
-40,-55,-48,-56,-31,41,-291,-7,6,-435,-144,-154,-820,-40
-42,-43,-39,-63,-14,48,-291,-2,18,-434,-137,-154,-819,-39
-38,-42,-25,-63,-18,50,-291,1,21,-432,-130,-154,-821,-33
-36,-45,-30,-63,-23,45,-291,-2,13,-435,-127,-154,-820,-29
-39,-45,-47,-66,-17,31,-291,-8,15,-436,-136,-154,-818,-31
-24,-5,-24,-54,47,92,-291,19,37,-432,-3,-154,-823,9
-22,-6,-23,-54,49,96,-291,20,33,-433,-9,-154,-817,5
-22,-8,-23,-54,48,90,-291,25,39,-439,-13,-154,-820,8
-22,-2,-20,-54,45,95,-291,25,44,-440,-20,-154,-816,19
-24,-1,-19,-54,61,99,-291,24,46,-439,-38,-154,-816,24
-26,-5,-18,-54,78,93,-291,25,54,-440,-45,-154,-819,22
-25,3,-21,-53,77,92,-291,23,60,-438,-32,-154,-817,22
-21,5,-23,-54,73,97,-291,23,63,-437,-26,-154,-816,23
-18,-5,-9,-54,72,89,-291,26,65,-438,-29,-154,-815,17
-24,-7,4,-55,57,74,-291,21,57,-438,-33,-154,-814,2
-25,-30,-27,-53,-13,54,-291,0,35,-426,-106,-151,-813,-10
-23,-37,-30,-53,-13,55,-291,0,35,-435,-98,-150,-813,-8
-22,-24,-22,-53,-12,60,-291,-1,48,-441,-74,-149,-813,-7
-21,-19,-18,-53,4,59,-291,-1,51,-435,-59,-149,-813,-8
-20,-39,-24,-53,8,55,-291,-1,35,-433,-67,-149,-815,-8
-20,-38,-25,-53,-8,54,-291,-3,30,-434,-71,-149,-816,-8
-22,-10,-16,-53,-5,58,-291,1,44,-431,-64,-149,-816,-8
-21,-17,-16,-53,4,59,-291,8,45,-434,-66,-149,-816,-8
-21,-40,-25,-53,-9,57,-291,5,31,-437,-75,-149,-816,-8
-22,-27,-25,-53,-17,55,-291,-3,29,-436,-72,-149,-817,-8
-24,-5,-22,-53,-11,60,-291,0,38,-435,-75,-149,-816,-8
-24,-13,-21,-54,-12,62,-291,3,36,-436,-94,-149,-816,-8
-24,-23,-55,-53,-8,89,-291,-1,45,-435,-81,-153,-821,-12
-24,-3,-49,-53,-11,90,-291,8,46,-435,-75,-154,-818,-8
-24,-12,-51,-53,5,98,-291,20,43,-437,-60,-152,-817,-1
-24,-30,-53,-53,21,95,-291,13,48,-437,-50,-151,-816,1
-24,-39,-41,-53,4,67,-291,-1,33,-436,-65,-152,-818,-5
-24,-41,-29,-53,-13,53,-291,0,9,-436,-85,-152,-815,-7
-24,-41,-39,-53,-7,59,-291,1,10,-434,-82,-151,-813,-7
-24,-41,-59,-54,-6,61,-291,-4,15,-435,-66,-152,-817,-8
-24,-43,-50,-53,-13,47,-291,-5,5,-439,-61,-152,-820,-6
-24,-41,-29,-54,-6,35,-291,-3,-3,-436,-73,-151,-817,-4
-24,-40,-24,-56,-3,33,-291,1,0,-432,-84,-152,-816,-6
-24,-40,-25,-55,-8,41,-291,-1,0,-435,-74,-151,-817,-7
-24,-40,-21,-52,-7,52,-291,0,-2,-433,-64,-150,-817,-6
-24,-39,-18,-52,-5,56,-291,14,-1,-431,-70,-150,-816,-6
-15,-5,-20,-53,57,91,-291,23,96,-434,1,-153,-817,32
-13,-4,-19,-51,53,81,-291,29,93,-437,-12,-148,-817,27
-11,-2,-19,-50,48,80,-291,32,87,-437,-29,-151,-817,22
-14,0,-12,-50,52,89,-291,32,81,-433,-22,-152,-816,25
-17,-2,-13,-50,49,88,-291,33,78,-436,-39,-149,-817,25
-16,-5,-21,-50,42,84,-291,33,79,-437,-66,-150,-818,25
-13,-4,-9,-49,41,82,-291,33,76,-433,-64,-150,-819,28
-10,-4,6,-53,28,83,-291,33,70,-436,-61,-145,-818,24
-12,-6,4,-56,19,87,-291,32,64,-439,-70,-147,-817,19
-19,-4,5,-55,24,86,-291,32,63,-432,-71,-152,-817,23
-19,-6,5,-49,21,85,-291,33,61,-432,-67,-151,-817,23
-15,-9,-14,-46,17,87,-291,31,58,-440,-73,-150,-816,21
-17,-14,7,-42,47,60,-287,51,84,-430,-53,-154,-813,31
-11,-5,7,-40,42,64,-287,53,88,-435,-32,-151,-813,28
-11,-4,12,-47,45,61,-287,51,95,-437,-37,-148,-813,27
-13,-5,13,-53,59,73,-287,59,98,-433,-31,-149,-813,30
-12,-6,10,-52,51,76,-286,53,83,-433,-30,-150,-813,27
-13,-17,12,-45,35,48,-288,36,59,-436,-53,-150,-813,20
-14,-33,14,-44,41,31,-287,41,51,-436,-54,-150,-813,22
-12,-39,11,-52,52,37,-277,48,57,-436,-43,-151,-813,25
-14,-42,10,-53,42,36,-272,33,51,-432,-62,-150,-813,25
-15,-46,11,-50,31,26,-282,27,40,-429,-86,-149,-813,23
-12,-40,14,-53,36,28,-289,41,46,-436,-73,-150,-813,21
-12,-31,17,-47,39,35,-289,38,55,-437,-46,-151,-813,22
-13,-36,15,-38,37,37,-288,29,53,-433,-52,-151,-813,25
-6,-6,-20,-51,76,68,-288,51,29,-434,-72,-148,-808,48
-8,-6,-4,-52,77,62,-291,52,22,-437,-67,-148,-784,39
-12,-5,5,-51,70,61,-289,54,18,-436,-71,-148,-777,22
-12,3,7,-49,76,80,-287,55,33,-435,-86,-147,-784,29
-12,4,11,-51,83,80,-287,56,40,-436,-103,-149,-784,30
-17,-7,12,-54,67,58,-286,46,31,-437,-104,-153,-779,20
-19,-13,10,-52,53,56,-287,45,22,-435,-100,-151,-781,23
-12,-17,9,-50,49,56,-288,56,17,-435,-112,-143,-782,25
-10,-29,12,-50,47,35,-284,52,22,-438,-116,-151,-782,21
-20,-37,12,-50,49,26,-285,36,30,-437,-96,-147,-783,23
-17,-36,5,-50,51,30,-289,29,31,-433,-87,-134,-784,28
-13,-39,-24,-49,13,57,-288,27,-2,-429,-77,-146,-814,15
-9,-12,-23,-51,18,67,-288,31,10,-436,-67,-143,-814,7
-12,-3,-22,-50,17,64,-286,27,12,-433,-73,-125,-814,3
-17,-13,-23,-43,17,62,-287,32,5,-433,-74,-140,-814,6
-14,-12,-22,-41,19,73,-289,50,2,-438,-67,-158,-814,12
-10,-6,-19,-42,17,90,-289,52,6,-433,-71,-142,-814,7
-10,-9,-20,-43,14,90,-286,35,2,-431,-77,-126,-814,-2
-13,-13,-25,-41,3,70,-278,29,-14,-438,-91,-127,-814,-4
-11,-17,-26,-39,-12,55,-275,34,-29,-435,-113,-131,-814,-8
-5,-19,-26,-45,-3,59,-274,33,-28,-433,-117,-128,-814,-7
-7,-16,-26,-52,11,67,-276,31,-24,-438,-103,-124,-814,-2
-15,-16,-26,-52,-5,65,-285,33,-29,-434,-99,-129,-814,-3
-15,-29,-27,-51,-14,62,-286,32,-31,-431,-106,-130,-814,-3
-8,-31,-25,-50,4,64,-281,31,-29,-433,-104,-125,-814,-3
-16,-37,-54,-50,10,31,-283,21,-13,-429,-154,-122,-812,-11
-11,-36,-46,-50,17,34,-285,22,-11,-433,-131,-127,-813,-7
-11,-17,-46,-50,24,53,-289,22,1,-433,-101,-142,-815,2
-16,-10,-54,-50,20,51,-285,19,5,-433,-103,-151,-815,3
-11,-13,-51,-50,22,51,-282,16,7,-438,-121,-149,-814,-2
-6,-11,-48,-50,35,59,-284,18,15,-437,-129,-150,-815,-4
-8,-7,-50,-50,39,63,-288,23,21,-433,-126,-153,-815,-2
-11,-7,-52,-50,29,60,-291,27,22,-434,-122,-154,-815,0
-9,-11,-52,-50,19,56,-289,25,18,-436,-122,-152,-815,-5
-7,-14,-50,-50,17,55,-276,21,16,-436,-122,-147,-815,-9
-6,-10,-48,-50,17,62,-274,20,26,-435,-117,-150,-815,-7
-13,-41,-48,-51,-14,16,-279,11,-71,-429,-82,-129,-817,-6
-11,-38,-54,-54,-19,17,-278,6,-85,-432,-86,-129,-817,-9
-4,-36,-49,-57,-13,24,-275,16,-80,-433,-92,-126,-817,-10
-4,-38,-46,-55,-5,27,-283,24,-66,-433,-88,-126,-817,-6
-10,-33,-51,-53,-10,32,-290,26,-66,-433,-88,-127,-816,-4
-11,-25,-53,-53,-17,35,-285,25,-68,-433,-90,-126,-816,-7
-4,-31,-52,-53,-13,31,-289,21,-62,-436,-80,-125,-817,-7
2,-32,-53,-53,-12,42,-291,24,-61,-435,-68,-126,-816,-5
3,-15,-54,-53,-13,64,-281,30,-54,-430,-63,-126,-816,-4
-5,-5,-54,-53,-10,66,-280,25,-42,-431,-65,-126,-820,-2
-7,-13,-54,-53,-8,58,-290,25,-46,-434,-63,-126,-822,-1
-3,-13,-54,-53,-11,58,-291,30,-61,-433,-56,-126,-819,-4
-5,-7,-54,-53,-13,59,-284,32,-56,-434,-54,-126,-818,-8
-7,-8,-54,-53,-13,60,-287,33,-42,-434,-57,-126,-818,-9
-5,-41,-50,-52,-50,32,-291,31,-9,-433,-129,-124,-790,-24
-4,-39,-48,-52,-48,57,-286,33,1,-433,-123,-124,-787,-25
2,-38,-40,-52,-42,63,-285,32,3,-433,-113,-124,-791,-24
1,-37,-39,-52,-42,53,-285,28,0,-433,-119,-124,-791,-14
-7,-36,-50,-52,-43,58,-286,27,-1,-433,-119,-124,-783,-8
-5,-36,-54,-52,-36,65,-287,29,6,-433,-90,-124,-792,-8
6,-35,-51,-52,-23,73,-287,28,19,-432,-64,-124,-798,-7
3,-31,-53,-52,-15,84,-289,27,21,-433,-67,-124,-792,-3
-5,-30,-55,-52,-15,77,-287,25,19,-433,-70,-124,-801,0
-1,-33,-51,-51,-15,70,-279,24,18,-431,-66,-124,-804,1
0,-33,-48,-52,-12,70,-279,27,8,-430,-63,-124,-791,-4
-2,-35,-47,-52,-17,65,-288,32,2,-431,-56,-124,-798,-7
-14,-12,-51,-53,-9,69,-290,25,-29,-436,-108,-124,-779,-10
-11,-11,-50,-53,-12,67,-278,24,-30,-439,-106,-123,-778,-9
-7,-10,-51,-53,-8,83,-272,25,-15,-439,-101,-124,-781,-9
-8,-10,-52,-53,-8,94,-277,29,-6,-432,-99,-127,-784,-5
-11,-8,-51,-53,-13,87,-280,28,-5,-435,-114,-128,-783,-8
-12,-3,-48,-53,-12,92,-278,34,2,-442,-117,-126,-781,-8
-9,-5,-50,-53,-13,91,-282,38,-2,-436,-113,-125,-781,-13
-7,-10,-55,-53,-15,68,-289,31,-14,-431,-129,-124,-781,-28
-2,-12,-55,-53,-13,59,-283,24,-12,-435,-139,-122,-781,-30
-4,-9,-51,-53,-16,64,-273,25,-17,-432,-125,-122,-781,-26
-13,-12,-51,-53,-21,57,-280,26,-32,-430,-114,-123,-781,-29
-11,-25,-53,-53,-20,55,-288,25,-29,-436,-119,-122,-781,-30
-11,-36,-50,-53,-24,55,-281,29,-21,-438,-119,-123,-780,-30
-15,-41,-54,-54,5,24,-279,3,-53,-432,-85,-123,-799,-23
-8,-37,-48,-53,7,33,-277,23,-34,-432,-90,-123,-794,-12
-3,-36,-46,-53,-11,26,-275,31,-36,-435,-86,-123,-799,-10
-12,-36,-56,-53,-14,25,-275,27,-56,-435,-89,-123,-800,-11
-15,-39,-49,-55,-11,29,-275,28,-59,-431,-88,-123,-787,-10
-5,-33,-28,-57,1,37,-276,35,-37,-433,-72,-123,-782,-8
0,-20,-21,-56,7,42,-277,35,-26,-435,-64,-123,-786,-16
-4,-22,-31,-54,-7,33,-277,32,-38,-432,-69,-123,-790,-20
-5,-38,-43,-53,-12,22,-277,29,-53,-434,-71,-123,-801,-9
-4,-11,-34,-56,-12,49,-276,31,7,-432,-170,-122,-813,-2
-7,-23,-22,-56,-28,45,-275,31,-11,-432,-177,-122,-813,-15
-7,-36,-29,-56,-38,30,-278,30,-28,-435,-192,-123,-813,-19
-3,-30,-32,-56,-16,32,-277,31,-15,-437,-181,-123,-813,-9
1,-10,-27,-56,-5,54,-277,31,3,-439,-155,-123,-813,-4
0,-5,-26,-56,-15,66,-276,31,3,-436,-122,-123,-813,-5
1,-15,-25,-56,-14,52,-274,29,-1,-431,-93,-123,-813,-4
4,-31,-24,-56,-11,39,-276,29,-6,-433,-94,-123,-813,-5
4,-29,-25,-56,-15,39,-275,34,-7,-433,-97,-123,-813,-6
3,-13,-24,-56,-11,42,-274,36,2,-431,-82,-123,-813,-1
1,-20,-24,-56,-9,32,-278,34,-4,-432,-83,-123,-813,0
-3,-39,-25,-56,-10,25,-273,33,-24,-435,-100,-123,-813,-5
-14,-44,-33,-56,-42,26,-275,34,-36,-433,-143,-124,-810,-39
-11,-47,-33,-56,-45,8,-275,32,-32,-433,-152,-124,-810,-38
-2,-45,-31,-56,-39,4,-275,30,-27,-433,-139,-124,-810,-30
-5,-41,-28,-56,-41,24,-275,30,-30,-433,-126,-124,-810,-27
-10,-42,-27,-56,-33,31,-276,30,-23,-433,-146,-124,-810,-30
-10,-44,-28,-56,-20,21,-274,28,-16,-434,-159,-124,-810,-24
-1,-30,-26,-56,-11,40,-276,31,-8,-435,-136,-124,-810,-9
3,-9,-21,-56,8,67,-280,34,15,-436,-123,-124,-810,-1
-3,-3,-22,-56,24,75,-280,36,30,-438,-122,-124,-810,-1
